artist,album,track_name,release_date,popularity,genres,sub-genres,explicit,followers,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist,mood
Mariah Carey,The Emancipation of Mimi,We Belong Together,2005-04-12,70,dance pop, urban contemporary,0,8798554,3LmvfNUQtglbTrydsdIqFU,0.837,0.462,0,-7.89,1,0,0,0,139.986,201400,4,playlist_2005,1
Mario,Let Me Love You,Let Me Love You,2004-09-21,73,dance pop, hip pop,0,3079198,3ibKnFDaa3GhpPGlOUj7ff,0.656,0.578,7,-8.97,0,0,0,0,94.514,256733,4,playlist_2005,1
Kanye West,Late Registration,Gold Digger,2005-08-30,78,chicago rap, rap,1,19599435,1PS1QMdUqOal0ai3Gt7sDQ,0.629,0.696,1,-5.572,0,0,0,0,93.034,207627,4,playlist_2005,1
Rihanna,Music Of The Sun,Pon de Replay,2005-08-29,79,barbadian pop, pop,0,53901957,4TsmezEQVSZNNPv5RJ65Ov,0.779,0.64,7,-8.415,1,0,0,0,99.019,246960,4,playlist_2005,0
50 Cent,The Massacre,Candy Shop,2005-03-03,79,east coast hip hop, gangster rap,1,10532326,5D2mYZuzcgjpchVY1pmTPh,0.614,0.574,11,-7.961,1,0,0,0,125.173,209107,5,playlist_2005,1
James Blunt,Back to Bedlam,You're Beautiful,2005-08-08,75,neo mellow, pop,1,2756840,0vg4WnUWvze6pBOJDTq99k,0.675,0.479,0,-9.87,0,0,0,0,81.998,209493,4,playlist_2005,0
Green Day,Greatest Hits: God's Favorite Band,Boulevard of Broken Dreams,2017-11-17,76,permanent wave, punk,1,13881233,5GorCbAP4aL0EJ16frG2hd,0.496,0.682,8,-4.095,1,0,0,0,167.06,262333,4,playlist_2005,0
The Pussycat Dolls,PCD,Don't Cha,2005-01-01,66,dance pop, girl group,0,5361704,1gZ7i4qxXkHZb1r6eioaAP,0.877,0.637,1,-3.493,0,0,0,0,119.988,272080,4,playlist_2005,1
Daniel Powter,Daniel Powter,Bad Day,2005-02-22,74,canadian pop, neo mellow,0,248346,0mUyMawtxj1CJ76kn9gIZK,0.599,0.785,3,-4.013,1,0,0,0,140.046,233640,4,playlist_2005,1
Eminem,Encore (Deluxe Version),Mockingbird,2004-11-12,90,detroit hip hop, hip hop,1,67857271,561jH07mF1jHuk7KlaeF0s,0.637,0.678,0,-3.798,1,0,0,0,84.039,250760,4,playlist_2005,0
Gorillaz,Demon Days,Feel Good Inc.,2005-05-23,83,alternative hip hop,,0,10215794,0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,1,0,0,0,138.559,222640,4,playlist_2005,1
Coldplay,X&Y,Fix You,2005-06-07,82,permanent wave, pop,0,42767408,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0,0,0,138.178,295533,4,playlist_2005,0
The Game,The Documentary,Hate It Or Love It,2005,81,gangster rap, hip hop,1,4502019,2wGSgTmgSF3xjRrHkTc25R,0.802,0.785,9,-4.781,1,0,0,0,99.998,206400,4,playlist_2005,0
JAY-Z,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,Numb / Encore,2004-11-30,78,east coast hip hop, hip hop,1,8234325,5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2,-4.254,1,0,0,0,107.045,205733,4,playlist_2005,1
Akon,Trouble Deluxe Edition,Lonely,2005-01-01,78,dance pop,,1,3662283,4v7DCN09hgXkKazefkznDQ,0.634,0.526,5,-7.881,0,0,0,0,90.087,235800,4,playlist_2005,1
50 Cent,The Massacre,Just A Lil Bit,2005-03-03,77,east coast hip hop, gangster rap,1,10532326,4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,1,0,0,0,96.946,237707,4,playlist_2005,1
Fall Out Boy,From Under The Cork Tree,"Sugar, We're Goin Down",2005-05-03,77,emo, modern rock,0,9890506,2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0,0,0,162.011,229093,4,playlist_2005,1
Shakira,"Fijación Oral, Vol. 1",La Tortura (feat. Alejandro Sanz),2005-06-03,76,colombian pop, dance pop,0,27925279,5BSclXJTa9B0iURhUjZo50,0.74,0.783,0,-5.367,1,0,0,0,100.011,212893,4,playlist_2005,1
Green Day,American Idiot,Wake Me up When September Ends,2004-09-21,75,permanent wave, punk,0,13881233,3ZffCQKLFLUvYM59XKLbVm,0.546,0.814,7,-5.146,1,0,0,0,104.98,285653,4,playlist_2005,0
Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,Drop It Like It's Hot,2004-01-01,75,g funk, gangster rap,1,9434256,2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,1,-3.872,1,0,0,0,91.979,266067,4,playlist_2005,1
The Game,The Documentary,How We Do,2005,75,gangster rap, hip hop,1,4502019,4PmMVdIFpJTB9WQbmILf4p,0.862,0.648,4,-7.401,0,0,0,0,98.012,235533,4,playlist_2005,1
Thirty Seconds To Mars,A Beautiful Lie,The Kill,2005-01-01,75,modern rock, post-grunge,0,3301925,0lP4HYLmvowOKdsQ7CVkuq,0.179,0.912,4,-3.881,0,0,0,0,182.99,231533,3,playlist_2005,0
Madonna,Confessions on a Dance Floor,Hung Up,2005-11-11,75,dance pop, pop,0,6822315,3850dYVgOFIXJh5U4BFEWH,0.649,0.647,9,-7.695,0,0,0,0,125.02,337733,4,playlist_2005,0
Gorillaz,Demon Days,DARE,2005-05-23,74,alternative hip hop,,0,10215794,4Hff1IjRbLGeLgFgxvHflk,0.76,0.891,11,-5.852,0,0,0,0,120.264,245000,4,playlist_2005,1
Foo Fighters,In Your Honor,Best of You,2005-06-14,74,alternative metal, alternative rock,0,10771113,5FZxsHWIvUsmSK1IAvm2pp,0.366,0.94,1,-5.119,0,0,0,0,130.198,255627,4,playlist_2005,0
Lifehouse,Lifehouse,You And Me,2005-03-22,74,alternative metal, neo mellow,0,1906606,0815caqt2Lytro5EIzMufT,0.459,0.427,7,-7.734,1,0,0,0,139.902,195493,3,playlist_2005,0
Ciara,Goodies,"One, Two Step (feat. Missy Elliott)",2004-09-27,73,dance pop, hip pop,0,6081278,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0,0,0,113.046,203787,4,playlist_2005,1
Chris Brown,Chris Brown (Expanded Edition),Run It! (feat. Juelz Santana),2005,73,dance pop, r&b,0,18930345,7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1,-6.721,0,0,0,0,100.969,229867,4,playlist_2005,0
50 Cent,The Massacre,Disco Inferno,2005-03-03,73,east coast hip hop, gangster rap,1,10532326,69bHJ9qs5FrUJbKP8xU8uZ,0.925,0.659,3,-4.763,1,0,0,0,97.018,214227,4,playlist_2005,1
Fort Minor,The Rising Tied,Remember the Name (feat. Styles of Beyond),2005-11-21,72,rap rock,,1,577032,6ndmKwWqMozN2tcZqzCX4K,0.688,0.835,8,-4.162,1,0,0,0,84.858,230493,4,playlist_2005,1
KT Tunstall,Eye To The Telescope,Suddenly I See,2005-01-01,72,lilith, neo mellow,0,387160,5p9XWUdvbUzmPCukOmwoU3,0.587,0.767,0,-5.713,1,0,0,0,100.38,201707,4,playlist_2005,1
Coldplay,X&Y,Speed of Sound,2005-06-07,71,permanent wave, pop,0,42767408,7clUVcSOtkNWa58Gw5RfD4,0.514,0.898,11,-6.765,0,0,0,0,123.067,287907,4,playlist_2005,0
Kelly Clarkson,Breakaway,Since U Been Gone,2004-01-17,71,dance pop, pop,0,9604378,3xrn9i8zhNZsTtcoWgQEAd,0.662,0.741,0,-5.406,1,0,0,0,131.0,188960,4,playlist_2005,0
Jack Johnson,In Between Dreams,Better Together,2005-01-01,70,neo mellow,,0,3589183,4VywXu6umkIQ2OS0m1I79y,0.868,0.347,5,-9.529,1,0,0,0,110.059,207680,4,playlist_2005,1
Jesse McCartney,Beautiful Soul,Beautiful Soul,2004-01-01,69,dance pop, neo mellow,0,963742,1HwpWwa6bnqqRhK8agG4RS,0.66,0.666,9,-4.342,1,0,0,0,89.975,214227,4,playlist_2005,1
Weezer,Make Believe,Beverly Hills,2005-05-10,69,alternative rock, modern power pop,0,3049060,1yKu2MhpwzDXXH2tzG6xoa,0.693,0.823,5,-3.761,1,0,0,0,87.904,196093,4,playlist_2005,1
T-Pain,Rappa Ternt Sanga (Expanded Edition),I'm Sprung,2005-12-06,69,dance pop, hip hop,0,4255238,0DLOyyQvwPTSDKuhpzMMwA,0.728,0.327,0,-11.596,0,0,0,0,100.0,231040,4,playlist_2005,0
Crazy Frog,Crazy Frog presents Crazy Hits,Axel F,2005-08-01,68,eurodance, europop,0,372239,0Bo5fjMtTfCD8vHGebivqc,0.86,0.907,2,-3.321,1,0,1,0,138.045,168880,4,playlist_2005,1
Jack Johnson,In Between Dreams,Banana Pancakes,2005-01-01,69,neo mellow,,0,3589183,451GvHwY99NKV4zdKPRWmv,0.816,0.375,7,-8.053,1,0,0,0,114.303,191907,4,playlist_2005,1
Gwen Stefani,Love Angel Music Baby (Deluxe Version),Hollaback Girl,2004-11-23,68,dance pop, pop,1,5892266,0LzrhCZFXW94Y8nwtTuRlw,0.926,0.916,10,-2.221,0,0,0,0,110.007,199853,4,playlist_2005,1
Toby Keith,Honkytonk University,As Good As I Once Was,2005-01-01,68,contemporary country, country,0,1961773,7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0,0,0,119.075,227840,4,playlist_2005,1
Kelly Clarkson,Breakaway,Because of You,2004-01-17,68,dance pop, pop,0,9604378,3f3omU8n47Mqyab5nCaGyT,0.583,0.584,5,-5.362,0,0,0,0,140.039,219493,4,playlist_2005,0
Stereophonics,Language.Sex.Violence.Other?,Dakota,2005-01-01,68,britpop, modern rock,0,1415959,3qaSqrrevBrb84xl5JlptU,0.506,0.93,4,-3.499,1,0,0,0,146.994,297427,4,playlist_2005,0
Eminem,Encore (Deluxe Version),Like Toy Soldiers,2004-11-12,68,detroit hip hop, hip hop,1,67857271,6CN3e26iQSj1N5lomh0mfO,0.52,0.768,8,-3.489,0,0,0,0,79.178,296880,4,playlist_2005,0
Nickelback,All the Right Reasons,Photograph,2005-09-26,67,alternative metal, canadian rock,0,6198641,3hb2ScEVkGchcAQqrPLP0R,0.515,0.876,8,-3.756,1,0,0,0,145.916,258920,4,playlist_2005,0
2Pac,Loyal To The Game,Ghetto Gospel,2004-01-01,67,g funk, gangster rap,1,14848492,7jLbTp3qZzah9kMIdW8e5M,0.794,0.614,5,-5.352,0,0,0,0,80.569,238053,4,playlist_2005,1
Lil Jon & The East Side Boyz,Crunk Juice,Lovers And Friends,2004-11-16,67,atl hip hop, atlanta bass,1,733998,41PWz0hAiU9FqsmjR9Wh62,0.675,0.501,10,-6.183,1,0,0,0,139.861,260600,4,playlist_2005,1
Missy Elliott,The Cookbook,Lose Control (feat. Ciara & Fat Man Scoop),2005-07-04,67,dance pop, hip hop,1,2177135,0UaMYEvWZi0ZqiDOoHU3YI,0.904,0.813,4,-7.105,0,0,0,0,125.461,226864,4,playlist_2005,1
Bow Wow,Wanted,Like You (feat. Ciara),2005,66,dance pop, hip hop,0,1291987,3jEqrIfwKO0M8ALu3TGilF,0.714,0.6,6,-8.365,1,0,0,0,82.017,205840,4,playlist_2005,1
Black Eyed Peas,Monkey Business,My Humps,2005-01-01,66,dance pop, pop,0,7322699,19JdbdEwQI7bCxefMokZO8,0.801,0.682,1,-5.919,0,0,0,0,123.95,326960,4,playlist_2005,1
Jeezy,Let's Get It: Thug Motivation 101,Soul Survivor,2005,65,atl hip hop, crunk,1,2306569,0Ss50OU9tCozI7JIywkv14,0.682,0.483,10,-7.718,1,0,0,0,84.012,280013,4,playlist_2005,0
Backstreet Boys,Never Gone,Incomplete,2005-06-14,65,boy band, dance pop,0,5074711,0CnD7Hiw6pae6rLsZw5q5W,0.437,0.589,4,-4.834,1,0,0,0,133.631,239587,4,playlist_2005,0
Bobby V.,Disturbing Tha Peace Presents Bobby Valentino,"Slow Down - 12"" Version",2005-01-01,64,contemporary r&b, hip pop,0,890224,4Ilen0VxPEsVRLpnePji8P,0.568,0.732,11,-4.896,0,0,0,0,186.048,258667,4,playlist_2005,1
Death Cab for Cutie,Plans,I Will Follow You into the Dark,2005-08-29,64,indie pop, indie rock,0,1454768,3kZC0ZmFWrEHdUCmUqlvgZ,0.517,0.206,5,-12.233,1,0,0,0,80.401,189187,4,playlist_2005,0
John Legend,Get Lifted,Ordinary People,2005-12-06,64,neo mellow, neo soul,0,6427022,2ZA4uMlSZjaoWGFqP1tsLI,0.469,0.132,10,-14.001,1,0,0,0,66.989,281467,3,playlist_2005,0
Howie Day,Stop All The World Now,Collide,2003-10-07,64,acoustic pop, neo mellow,0,319387,6dwkFmLUz6hx2CZG2EqLol,0.636,0.625,11,-7.895,1,0,0,0,93.931,249120,4,playlist_2005,0
The All-American Rejects,Move Along,Dirty Little Secret,2005-01-01,64,modern rock, neo mellow,0,2466353,5ZdzNVOmCSp5HFLk0EgvJS,0.469,0.955,10,-4.253,1,0,0,0,143.853,193653,4,playlist_2005,0
Pretty Ricky,Bluestars,Grind With Me,2005-05-17,64,contemporary r&b, dance pop,1,1534771,3B7i9OKRRmIsSBHEbJz58Y,0.7,0.538,1,-5.952,1,0,0,0,136.518,237733,4,playlist_2005,0
Gwen Stefani,Love Angel Music Baby (Deluxe Version),Rich Girl,2004-11-23,64,dance pop, pop,0,5892266,2Y2q7PkD7lvuWr8YaZfWuv,0.856,0.754,7,-2.728,0,0,0,0,98.018,236213,4,playlist_2005,1
Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,Signs,2004-01-01,64,g funk, gangster rap,1,9434256,4HSAJpNocVNJbwbQvtCMdO,0.934,0.706,7,-5.317,1,0,0,0,112.962,236480,4,playlist_2005,1
Usher,Confessions (Expanded Edition),Caught Up,2004-03-23,63,atl hip hop, contemporary r&b,0,10379380,5zdUc1JRCImBYcDWgvFNpE,0.817,0.806,6,-4.606,1,0,0,0,110.086,224640,4,playlist_2005,1
D4L,Down for Life,Laffy Taffy,2005-11-08,63,atl hip hop, crunk,1,289418,2ajhenDRiiAnCHHjsIOHhJ,0.891,0.439,7,-7.994,0,0,0,0,77.499,224253,4,playlist_2005,1
Kelly Clarkson,Breakaway,Breakaway,2004-01-17,62,dance pop, pop,0,9604378,61Qhe2mHSLhUE04QeK4lkD,0.446,0.701,9,-4.179,0,0,0,0,159.958,237000,3,playlist_2005,0
Ray J,Raydiation,One Wish,2005-09-05,62,pop rap, r&b,0,715630,5qrzhg9Fmu8Amg2uMhHfe5,0.525,0.652,5,-7.042,0,0,0,0,127.673,337640,4,playlist_2005,1
The Chemical Brothers,Push The Button,Galvanize,2005-01-01,62,alternative dance, big beat,0,1869142,4bz7uB4edifWKJXSDxwHcs,0.745,0.714,7,-3.681,1,0,0,0,104.003,393813,4,playlist_2005,0
Bow Wow,Wanted,Let Me Hold You (feat. Omarion),2005,62,dance pop, hip hop,0,1291987,1oNToERLIN71YCPLbRIQGQ,0.815,0.662,6,-8.244,1,0,0,0,151.518,248493,4,playlist_2005,1
Sean Paul,The Trinity,We Be Burnin',2005-09-26,62,dance pop, dancehall,0,4277084,4kOTDj4SiZPkW1p96WMDNv,0.95,0.803,1,-4.195,1,0,0,0,117.0,213066,4,playlist_2005,1
Westlife,Face To Face,You Raise Me Up,2005-10-31,62,boy band, europop,0,3545744,5XQavlXrNHBBvlN4IJqhqW,0.23,0.357,10,-6.596,1,0,0,0,114.229,241067,4,playlist_2005,0
Michael Bublé,It's Time,Home,2005-02-07,61,adult standards, canadian pop,0,5775900,4wLZ4zPM9c4oe1VV8ejdWV,0.608,0.37,7,-9.207,1,0,0,0,127.631,225907,4,playlist_2005,0
The Pussycat Dolls,PCD,Stickwitu,2005-01-01,61,dance pop, girl group,0,5361704,4NjR63Up0uMkQBlKvlZd1l,0.655,0.54,9,-6.482,1,0,0,0,79.983,207507,4,playlist_2005,0
Destiny's Child,Destiny Fulfilled,Soldier (feat. T.I. & Lil' Wayne),2004-11-16,61,dance pop, girl group,0,6248053,4FTOpNYcGxnQdGNWSxIcio,0.878,0.417,7,-6.799,1,0,0,0,77.49,325573,4,playlist_2005,1
Ciara,Goodies,Oh (feat. Ludacris),2004-09-27,61,dance pop, hip pop,0,6081278,7i7UIbm5E0DD7aSOYvwp2v,0.8,0.496,7,-7.135,1,0,0,0,128.29,256347,4,playlist_2005,0
Franz Ferdinand,You Could Have It So Much Better,Do You Want To,2005-10-03,61,alternative rock, dance rock,0,2403927,6WrnSlcN0dzTO80mVVbBto,0.412,0.944,0,-2.896,1,0,0,1,123.091,215000,4,playlist_2005,1
Ryan Cabrera,Take It All Away (U.S. Version),True,2004-06-08,61,neo mellow, pop rock,0,85737,0jdeV5dSB3kUBRqe1xQJbh,0.598,0.4,6,-10.054,1,0,0,0,96.938,203546,4,playlist_2005,0
Kelly Clarkson,Breakaway,Behind These Hazel Eyes,2004-01-17,60,dance pop, pop,0,9604378,0AKAxdNkwq9ZxRdW1DN9zW,0.548,0.889,9,-4.682,1,0,0,0,90.048,198973,4,playlist_2005,0
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,2006-02-21,60,garage rock, modern rock,0,19058847,29EkMZmUNz1WsuzaMtVo1i,0.535,0.948,6,-4.19,0,0,0,0,103.183,173680,4,playlist_2005,1
Papa Roach,Getting Away With Murder,Scars,2004-01-01,60,alternative metal, nu metal,0,4676597,3TAtUJc4Sj913Cs5gBUeu0,0.455,0.929,11,-3.295,1,0,0,0,89.782,208199,4,playlist_2005,0
Nelly,Suit,Over And Over,2004-09-14,60,dance pop, hip hop,1,2374633,2b8QQqf8Vwb7bfz22ja8Fk,0.644,0.517,7,-10.02,1,0,0,0,169.799,253933,4,playlist_2005,0
Destiny's Child,Destiny Fulfilled,Cater 2 U,2004-11-16,60,dance pop, girl group,0,6248053,6uYAPqxP69zfpCbsTHXgiz,0.605,0.584,11,-7.043,0,0,0,0,125.802,245400,4,playlist_2005,0
Katie Melua,Piece By Piece,Nine Million Bicycles,2005-09-23,59,uk pop,,0,510835,0xQdisF8CHkso4LnJcaIMr,0.534,0.247,0,-15.636,1,0,0,0,82.168,197160,4,playlist_2005,0
