popularity,genres,sub-genres,explicit,followers,danceability,energy,key,loudness,mode,instrumentalness,liveness,tempo,duration_ms,time_signature,mood
73,68,120,0,8991830,0.837,0.462,0,-7.89,1,0,0,139.986,201400,4,1
76,68,137,0,3145484,0.656,0.578,7,-8.97,0,0,0,94.514,256733,4,1
81,53,65,1,20103224,0.629,0.696,1,-5.572,0,0,0,93.034,207627,4,1
81,24,120,0,55220475,0.779,0.64,7,-8.415,1,0,0,99.019,246960,4,0
82,84,57,1,11171355,0.614,0.574,11,-7.961,1,0,0,125.173,209107,5,1
78,154,177,1,2790492,0.675,0.479,0,-9.87,0,0,0,81.998,209493,4,0
78,152,113,1,14027664,0.496,0.682,8,-4.095,1,0,0,167.06,262333,4,0
69,68,61,0,5406955,0.877,0.637,1,-3.493,0,0,0,119.988,272080,4,1
76,49,100,0,251412,0.599,0.785,3,-4.013,1,0,0,140.046,233640,4,1
92,75,65,1,70818341,0.637,0.678,0,-3.798,1,0,0,84.039,250760,4,0
85,10,98,0,10454270,0.818,0.705,6,-6.679,1,0,0,138.559,222640,4,1
85,166,120,0,44257589,0.209,0.417,3,-8.74,1,0,0,138.178,295533,4,0
83,104,65,1,4614001,0.802,0.785,9,-4.781,1,0,0,99.998,206400,4,0
81,84,57,1,8368245,0.687,0.793,2,-4.254,1,0,0,107.045,205733,4,1
80,68,177,1,3754123,0.634,0.526,5,-7.881,0,0,0,90.087,235800,4,1
80,84,57,1,11171355,0.489,0.692,1,-6.672,1,0,0,96.946,237707,4,1
80,91,98,0,10020221,0.494,0.842,7,-4.784,1,0,0,162.011,229093,4,1
78,152,113,0,14027664,0.546,0.814,7,-5.146,1,0,0,104.98,285653,4,0
78,59,31,0,29157250,0.74,0.783,0,-5.367,1,0,0,100.011,212893,4,1
78,103,57,1,9700627,0.888,0.632,1,-3.872,1,0,0,91.979,266067,4,1
78,152,132,0,3339809,0.179,0.912,4,-3.881,0,0,0,182.99,231533,3,0
78,104,65,1,4614001,0.862,0.648,4,-7.401,0,0,0,98.012,235533,4,1
77,11,1,0,10937542,0.366,0.94,1,-5.119,0,0,0,130.198,255627,4,0
77,10,98,0,10454270,0.76,0.891,11,-5.852,0,0,0,120.264,245000,4,1
77,68,120,0,6945265,0.649,0.647,9,-7.695,0,0,0,125.02,337733,4,0
76,154,128,0,1928313,0.459,0.427,7,-7.734,1,0,0,139.902,195493,3,0
76,68,67,0,6150942,0.944,0.511,5,-10.96,0,0,0,113.046,203787,4,1
75,84,57,1,11171355,0.925,0.659,3,-4.763,1,0,0,97.018,214227,4,1
75,174,139,0,19533399,0.846,0.482,1,-6.721,0,0,0,100.969,229867,4,0
75,85,89,0,392092,0.587,0.767,0,-5.713,1,0,0,100.38,201707,4,1
74,166,120,0,44257589,0.514,0.898,11,-6.765,0,0,0,123.067,287907,4,0
74,68,120,0,9766413,0.662,0.741,0,-5.406,1,0,0,131.0,188960,4,0
74,176,177,1,583137,0.688,0.835,8,-4.162,1,0,0,84.858,230493,4,1
73,154,177,0,3628938,0.868,0.347,5,-9.529,1,0,0,110.059,207680,4,1
72,14,97,0,3095444,0.693,0.823,5,-3.761,1,0,0,87.904,196093,4,1
72,56,26,0,2003690,0.68,0.87,5,-4.461,1,0,0,119.075,227840,4,1
72,68,120,0,975520,0.66,0.666,9,-4.342,1,0,0,89.975,214227,4,1
72,68,120,1,6003475,0.926,0.916,10,-2.221,0,0,0,110.007,199853,4,1
72,154,177,0,3628938,0.816,0.375,7,-8.053,1,0,0,114.303,191907,4,1
72,68,57,0,4342491,0.728,0.327,0,-11.596,0,0,0,100.0,231040,4,0
71,0,177,0,388319,0.86,0.907,2,-3.321,1,1,0,138.045,168880,4,1
71,38,98,0,1436297,0.506,0.93,4,-3.499,1,0,0,146.994,297427,4,0
71,68,120,0,9766413,0.583,0.584,5,-5.362,0,0,0,140.039,219493,4,0
70,11,16,0,6311221,0.515,0.876,8,-3.756,1,0,0,145.916,258920,4,0
70,75,65,1,70818341,0.52,0.768,8,-3.489,0,0,0,79.178,296880,4,0
70,103,57,1,15292411,0.794,0.614,5,-5.352,0,0,0,80.569,238053,4,1
70,18,4,1,754138,0.675,0.501,10,-6.183,1,0,0,139.861,260600,4,1
69,68,65,1,2217996,0.904,0.813,4,-7.105,0,0,0,125.461,226864,4,1
69,68,120,0,7448377,0.801,0.682,1,-5.919,0,0,0,123.95,326960,4,1
69,68,36,0,1322168,0.714,0.6,6,-8.365,1,0,0,82.017,205840,4,1
68,18,30,1,2336886,0.682,0.483,10,-7.718,1,0,0,84.012,280013,4,0
67,35,31,0,5169216,0.437,0.589,4,-4.834,1,0,0,133.631,239587,4,0
67,11,98,0,2495741,0.469,0.955,10,-4.253,1,0,0,143.853,193653,4,0
67,68,120,0,6003475,0.856,0.754,7,-2.728,0,0,0,98.018,236213,4,1
67,65,36,0,906158,0.568,0.732,11,-4.896,0,0,0,186.048,258667,4,1
67,155,120,0,6478454,0.469,0.132,10,-14.001,1,0,0,66.989,281467,3,0
67,103,57,1,9700627,0.934,0.706,7,-5.317,1,0,0,112.962,236480,4,1
67,2,100,0,323139,0.636,0.625,11,-7.895,1,0,0,93.931,249120,4,0
67,14,19,0,1471186,0.517,0.206,5,-12.233,1,0,0,80.401,189187,4,0
66,18,27,0,10498948,0.817,0.806,6,-4.606,1,0,0,110.086,224640,4,1
66,18,30,1,296093,0.891,0.439,7,-7.994,0,0,0,77.499,224253,4,1
66,77,67,1,1562823,0.7,0.538,1,-5.952,1,0,0,136.518,237733,4,0
66,68,120,0,9766413,0.446,0.701,9,-4.179,0,0,0,159.958,237000,3,0
65,68,34,0,4348487,0.95,0.803,1,-4.195,1,0,0,117.0,213066,4,1
65,9,10,0,1902001,0.745,0.714,7,-3.681,1,0,0,104.003,393813,4,0
65,68,36,0,1322168,0.815,0.662,6,-8.244,1,0,0,151.518,248493,4,1
64,170,177,1,716404,0.529,0.651,5,-7.061,0,0,0,127.03,337640,4,1
64,3,15,0,5864201,0.608,0.37,7,-9.207,1,0,0,127.631,225907,4,0
64,68,67,0,6150942,0.8,0.496,7,-7.135,1,0,0,128.29,256347,4,0
64,68,61,0,5406955,0.655,0.54,9,-6.482,1,0,0,79.983,207507,4,0
64,35,177,0,3649524,0.23,0.357,10,-6.596,1,0,0,114.229,241067,4,0
63,11,108,0,4759934,0.455,0.929,11,-3.295,1,0,0,89.782,208199,4,0
63,68,120,0,9766413,0.548,0.889,9,-4.682,1,0,0,90.048,198973,4,0
63,14,32,0,2438985,0.412,0.944,0,-2.896,1,0,1,123.091,215000,4,1
63,68,61,0,6391626,0.878,0.417,7,-6.799,1,0,0,77.49,325573,4,1
63,68,57,1,2414873,0.644,0.517,7,-10.02,1,0,0,169.799,253933,4,0
63,105,98,0,19921759,0.535,0.948,6,-4.19,0,0,0,103.183,173680,4,1
62,122,100,0,87343,0.598,0.4,6,-10.054,1,0,0,96.938,203546,4,0
62,18,31,1,2587670,0.555,0.639,1,-5.16,1,0,0,171.609,270747,4,0
62,53,65,1,20103224,0.672,0.814,7,-3.768,1,0,0,97.043,233400,4,0
63,68,61,0,6391626,0.605,0.584,11,-7.043,0,0,0,125.802,245400,4,0
61,35,103,0,228601,0.571,0.89,9,-1.6,1,0,0,110.958,234147,4,1
61,193,177,0,521028,0.534,0.247,0,-15.636,1,0,0,82.168,197160,4,0
61,77,67,1,1562823,0.838,0.594,4,-5.695,0,0,0,90.038,240040,4,1
61,69,48,0,2675606,0.666,0.922,2,-4.458,0,0,0,118.014,276604,4,1
60,35,160,0,448939,0.542,0.559,1,-5.313,1,0,0,129.898,186867,4,0
60,68,120,0,8991830,0.699,0.543,10,-6.859,0,0,0,143.635,233867,4,0
60,38,177,0,244588,0.644,0.777,6,-6.165,0,0,0,126.257,152520,4,1
59,37,177,0,845683,0.636,0.558,7,-7.076,1,0,0,100.113,243987,4,1
61,68,61,0,6391626,0.567,0.747,6,-6.019,0,0,0,89.036,224147,4,1
59,18,30,1,1018362,0.933,0.513,7,-13.203,1,0,0,102.017,179160,4,1
59,68,120,0,12353477,0.741,0.759,0,-5.096,0,0,0,97.084,225533,4,0
59,154,128,0,864532,0.551,0.896,9,-3.152,0,0,0,171.79,226640,4,1
58,68,177,0,3754123,0.875,0.69,10,-5.905,0,0,0,104.844,238493,4,1
58,54,85,1,875939,0.901,0.392,9,-4.414,0,0,0,100.014,219187,4,1
58,68,120,0,6003475,0.709,0.721,2,-3.52,1,0,0,112.019,189333,4,1
58,131,113,0,11094208,0.53,0.597,2,-5.652,1,0,0,96.0,305080,4,0
58,84,57,1,11171355,0.77,0.587,8,-5.99,0,0,0,92.009,247973,4,1
57,68,120,0,7448377,0.689,0.929,5,-2.76,0,0,0,130.899,239773,4,1
57,75,65,1,70818341,0.646,0.796,2,-6.152,1,0,0,83.093,265480,4,1
86,59,31,0,29157250,0.778,0.824,10,-5.892,0,0,0,100.024,218093,4,1
81,68,34,0,4348487,0.951,0.6,0,-4.675,0,0,0,125.04,218573,4,1
80,68,120,1,12907964,0.967,0.583,7,-5.562,0,0,0,117.0,242733,4,1
72,168,137,0,34593078,0.447,0.694,7,-4.637,0,0,0,175.868,227853,4,1
75,37,101,0,8414036,0.407,0.558,0,-13.609,1,0,0,71.815,214947,4,1
78,24,120,0,55220475,0.677,0.671,7,-4.905,1,0,0,137.046,238920,4,1
74,18,101,0,487609,0.835,0.741,8,-1.609,1,0,0,111.963,182066,4,1
85,47,15,0,3433405,0.808,0.97,10,-6.098,0,0,0,114.328,242293,4,1
82,131,98,0,2823440,0.56,0.595,9,-4.53,1,0,0,104.011,267960,4,0
81,154,115,0,3923904,0.64,0.743,10,-4.08,1,0,0,122.035,262533,4,0
81,117,137,0,3494857,0.688,0.519,5,-4.285,1,0,0,116.714,255333,4,0
80,37,101,0,729942,0.739,0.511,9,-7.844,1,0,0,96.038,215360,4,1
80,68,120,0,7970409,0.452,0.574,6,-8.336,1,0,0,92.791,207187,4,1
79,14,54,0,19652681,0.556,0.913,0,-2.36,1,0,0,96.184,282160,4,1
79,91,98,0,7648085,0.217,0.905,2,-4.103,1,0,0,96.95,311107,4,0
79,152,113,0,7496780,0.668,0.921,7,-3.727,1,0,0,120.0,212440,4,1
79,91,98,0,10020221,0.622,0.961,11,-3.198,0,0,0,114.452,180267,4,0
82,47,15,0,3433405,0.796,0.777,6,-4.81,1,0,0,132.722,258893,4,1
79,14,32,0,6984570,0.467,0.988,11,-3.313,1,0,0,130.433,220427,4,0
78,68,120,0,1592200,0.706,0.8,5,-6.333,1,0,0,100.011,259333,4,1
78,68,67,0,1446774,0.803,0.454,8,-4.802,0,0,0,99.99,192213,4,1
76,64,28,0,3503353,0.582,0.952,5,-3.848,1,0,0,103.027,276320,4,1
76,75,65,1,70818341,0.963,0.643,1,-5.785,0,0,0,107.005,274440,4,1
76,68,120,0,15139634,0.688,0.734,9,-4.569,1,0,0,140.004,208493,4,0
75,154,154,0,5864120,0.578,0.756,2,-5.82,1,0,0,176.739,201173,4,1
75,68,120,0,12907964,0.771,0.68,11,-5.881,0,0,0,119.952,276160,4,1
74,11,16,0,6311221,0.518,0.797,6,-5.153,1,0,0,132.918,238173,4,0
74,168,177,0,11834772,0.569,0.83,9,-4.106,0,0,0,170.094,186635,4,1
74,174,139,0,19533399,0.536,0.612,4,-5.847,1,0,0,86.768,229040,4,1
74,53,65,1,20103224,0.552,0.846,9,-4.912,1,0,0,98.56,236600,1,1
73,24,120,0,55220475,0.588,0.391,0,-8.607,0,0,0,144.069,226973,4,0
73,95,48,0,482587,0.633,0.976,8,-5.362,1,0,0,142.027,197124,4,0
73,68,120,0,2306457,0.421,0.799,6,-5.183,0,0,0,82.408,221720,4,1
72,154,177,0,2790492,0.432,0.261,4,-12.591,1,0,0,89.567,258653,4,0
72,68,120,0,7970409,0.693,0.516,8,-6.446,1,0,0,94.02,220853,4,0
71,11,16,0,6311221,0.441,0.815,3,-4.088,1,0,0,164.007,219320,4,1
71,64,28,0,3503353,0.537,0.674,5,-5.134,0,0,0,136.002,214107,4,0
71,154,115,0,3923904,0.592,0.729,8,-4.156,1,0,0,116.03,236267,4,1
71,77,156,1,817095,0.787,0.799,8,-4.68,0,0,0,143.052,303053,4,1
71,68,120,1,7448377,0.649,0.931,1,-3.15,0,0,0,153.645,213067,4,1
71,78,49,0,558760,0.893,0.823,5,-3.708,0,0,0,128.009,245467,4,1
70,84,57,1,8876528,0.833,0.628,2,-7.041,1,0,0,106.328,286187,4,1
70,37,100,0,1303234,0.605,0.704,5,-6.564,1,0,0,80.925,220413,4,0
70,11,177,0,3846536,0.45,0.883,7,-4.094,1,0,0,93.41,214707,4,0
69,68,101,1,3533486,0.726,0.7,2,-5.881,0,0,0,146.559,246333,4,1
70,78,49,0,558760,0.723,0.872,1,-3.617,1,0,0,128.038,204798,4,1
69,18,30,0,1415626,0.835,0.757,8,-5.029,0,0,0,82.038,274387,4,1
69,174,139,0,19533399,0.678,0.572,11,-7.033,0,0,0,87.165,186827,4,0
68,68,57,1,4342491,0.739,0.368,8,-10.233,1,0,0,144.992,239413,4,0
67,18,30,1,774722,0.888,0.577,1,-7.702,0,0,0,84.003,241840,4,1
67,68,61,0,5406955,0.57,0.821,2,-4.38,1,0,0,210.857,225560,4,0
67,68,101,0,3533486,0.344,0.874,0,-3.161,1,0,0,185.888,260467,4,0
