artist,album,track_name,release_date,popularity,genres,explicit,followers,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sub-genres
Lil Durk,All My Life (feat. J. Cole),All My Life (feat. J. Cole),2023-05-12,87,chicago drill,True,5560201,6HgWWaMu31KdOpEG5l28BG,0.829,0.436,3,-8.205,1,0.327,0,0.0954,0.693,143.031,223204,4, chicago rap
Morgan Wallen,3 Songs At A Time Sampler,Last Night,2023-01-31,90,contemporary country,True,5904499,59uQI0PADDKeE6UZDTJEe8,0.517,0.675,6,-5.382,1,0.0357,0,0.151,0.518,203.853,163855,4,
YOASOBI,アイドル,アイドル,2023-04-12,90,j-pop,False,5482747,7ovUcF5uHTBRzUpB6ZOmvt,0.574,0.935,1,-2.783,1,0.0926,1.07e-06,0.367,0.836,166.008,213234,4, japanese teen pop
Eslabon Armado,Ella Baila Sola,Ella Baila Sola,2023-03-16,99,corrido,False,4018287,3dnP0JxCgygwQH9Gm7q7nb,0.668,0.758,5,-5.176,0,0.0332,1.89e-05,0.0837,0.834,147.989,165671,3, corridos tumbados
Drake,Search & Rescue,Search & Rescue,2023-04-07,91,canadian hip hop,True,75347210,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10,-8.482,0,0.0734,1.42e-06,0.33,0.544,142.024,272113,4, canadian pop
Grupo Frontera,un x100to,un x100to,2023-04-17,100,musica chihuahuense,False,908428,6pD0ufEQq0xdHSsRbg9LBK,0.569,0.724,6,-4.076,0,0.0474,0,0.27,0.562,83.118,194563,4, nueva musica mexicana
Miley Cyrus,Flowers,Flowers,2023-01-13,97,pop,False,20777609,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,5.15e-06,0.0322,0.646,117.999,200455,4,
Toosii,Favorite Song,Favorite Song,2023-02-17,86,north carolina hip hop,False,1077307,1SRw5p2lVAi7RGlHEmZg66,0.816,0.367,2,-9.354,1,0.0588,0,0.0987,0.413,116.035,208630,4,
SZA,SOS,Kill Bill,2022-12-09,92,pop,False,12599639,3OHfY25tqY28d16oZczHc8,0.644,0.728,8,-5.75,1,0.0351,0.169,0.161,0.43,88.993,153947,4, r&b
Yng Lvcas,La Bebe (Remix),La Bebe - Remix,2023-03-17,99,,True,78180,2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,2,-5.678,0,0.333,1.21e-06,0.0756,0.559,169.922,234353,4,
Ikemdi,Pull Up / For Life,Pull Up,2022-08-19,29,,False,671,6HuJapjL14fuN7ex49wxca,0.739,0.474,0,-8.473,1,0.116,8.82e-06,0.0726,0.589,110.063,182670,4,
SZA,SOS,Snooze,2022-12-09,92,pop,True,12599639,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0,0.11,0.392,143.008,201800,4, r&b
Luke Combs,Gettin' Old,Fast Car,2023-03-24,89,contemporary country,False,8523638,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0,0.115,0.67,97.994,265493,4, country
