popularity,genres,sub-genres,explicit,followers,danceability,energy,key,loudness,mode,instrumentalness,liveness,tempo,duration_ms,time_signature,mood
87,9,3,1,5560201,0.829,0.436,3,-8.205,1,0,0,143.031,223204,4,1
90,14,27,1,5904499,0.517,0.675,6,-5.382,1,0,0,203.853,163855,4,1
90,20,9,0,5482747,0.574,0.935,1,-2.783,1,0,0,166.008,213234,4,1
99,15,4,0,4018287,0.668,0.758,5,-5.176,0,0,0,147.989,165671,3,1
91,8,2,1,75347210,0.817,0.44,10,-8.482,0,0,0,142.024,272113,4,1
100,26,16,0,908428,0.569,0.724,6,-4.076,0,0,0,83.118,194563,4,1
97,30,27,0,20777609,0.707,0.681,0,-4.325,1,0,0,117.999,200455,4,1
86,28,27,0,1077307,0.816,0.367,2,-9.354,1,0,0,116.035,208630,4,0
92,30,20,0,12599639,0.644,0.728,8,-5.75,1,0,0,88.993,153947,4,0
99,0,27,1,78180,0.812,0.479,2,-5.678,0,0,0,169.922,234353,4,1
29,0,27,0,671,0.739,0.474,0,-8.473,1,0,0,110.063,182670,4,1
92,30,20,1,12599639,0.559,0.551,5,-7.231,1,0,0,143.008,201800,4,0
89,14,5,0,8523638,0.712,0.603,8,-5.52,1,0,0,97.994,265493,4,1
87,14,27,0,5904499,0.656,0.757,3,-5.775,0,0,0,139.971,177388,4,0
95,1,15,0,2386026,0.801,0.806,11,-5.206,1,0,0,106.999,239318,4,1
87,22,27,0,2158523,0.795,0.875,4,-4.079,0,0,0,104.008,182149,4,0
96,0,27,0,2063294,0.696,0.809,5,-8.254,1,0,0,132.962,131013,4,1
85,4,1,1,14144806,0.877,0.517,2,-5.426,0,0,0,119.996,162053,4,0
94,30,27,0,74695770,0.637,0.643,4,-6.571,1,0,0,97.008,200690,4,1
97,18,27,0,886470,0.508,0.43,2,-9.475,0,0,0,130.09,212954,4,0
45,0,27,1,212,0.854,0.526,2,-6.829,1,0,0,77.314,184138,3,1
80,14,27,0,5904499,0.731,0.85,9,-4.913,1,0,0,119.706,157478,4,1
36,0,27,0,181,0.848,0.701,11,-9.863,0,0,0,112.977,173035,4,1
96,15,16,1,3424861,0.784,0.826,7,-6.34,0,0,0,138.078,184066,3,1
78,10,7,0,1859154,0.551,0.909,1,-3.711,1,0,0,98.048,209778,4,1
84,4,1,1,14144806,0.962,0.619,10,-5.562,0,0,0,127.958,144652,4,0
98,22,27,0,702249,0.783,0.592,11,-8.332,0,0,0,120.018,174253,4,1
95,15,4,0,7609247,0.558,0.648,9,-7.081,0,0,0,143.876,187226,3,1
